sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,White,25-29,Madison,Public Order,Pinckneyville,,,370.0,,2022,2022-01-01
Male,Black,20-24,Lake,Property,Illinois River,1427.0,,,,2021,2021-06-01
Male,White,35-44,Effingham,Property,Danville,,,13.0,,2025,2025-08-01
Male,White,35-44,De Witt,Drug,Big Muddy River,,,84.0,,2025,2025-05-01
Male,White,20-24,Effingham,Person,Graham,,,53.0,,2024,2024-12-01
Male,Black,25-29,Macon,Drug,Southwestern Illinois,,,,,2025,2025-12-01
Male,Black,30-34,Kane,Person,Western Illinois,,,,,2024,2024-08-01
Male,Black,55-64,Cook,Drug,Vandalia,,,,,2024,2024-07-01
Male,Black,35-44,Cook,Person,Stateville,,,,,2024,2024-09-01
Male,Hispanic,45-54,Cook,Person,Stateville,,,,,2024,2024-10-01
Male,Black,20-24,Cook,Public Order,Robinson,,,,,2024,2024-07-01
Male,White,45-54,Winnebago,Person,Centralia,,,,,2024,2024-02-01
Male,Black,25-29,Cook,Person,Stateville,,,,,2022,2022-01-01
Male,Black,35-44,Cook,Public Order,East Moline,,,,,2022,2022-06-01
Male,Black,30-34,Cook,Drug,Other,,,,,2022,2022-06-01
Male,Black,45-54,Cook,Drug,Stateville,,,,,2021,2021-09-01
Male,Hispanic,55-64,Cook,Person,East Moline,,,,,2021,2021-10-01
Male,Black,35-44,St. Clair,Public Order,Vienna,,,,,2021,2021-08-01
Male,Black,45-54,Will,Property,Pinckneyville,,,,,2021,2021-06-01
Male,Black,35-44,Cook,Public Order,Vandalia,,,,,2021,2021-02-01
Male,Black,25-29,Cook,Public Order,Stateville,,,,,2021,2021-11-01
Male,Black,65-74,Lake,Person,Centralia,,,,,2020,2020-08-01
Male,White,25-29,Cook,Public Order,Illinois River,,,,,2020,2020-08-01
Male,Black,25-29,Cook,Person,Sheridan,,,,,2020,2020-12-01
Male,Black,35-44,McLean,Property,Sheridan,,,,,2020,2020-12-01
Male,White,45-54,Madison,Drug,Robinson,,,,,2020,2020-07-01
Male,White,45-54,Cook,Person,Vienna,,,,,2020,2020-08-01
Male,Black,45-54,Macon,Person,Robinson,,,,,2020,2020-05-01
Male,Black,35-44,Lake,Drug,Jacksonville,,,,,2020,2020-05-01
Male,Black,35-44,Cook,Public Order,Stateville,,,,,2020,2020-02-01
Male,Black,30-34,Cook,Drug,Robinson,,,,,2020,2020-06-01
